[2026-02-15T21:01:33.420Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"4de79a0b-9944-44b5-bc65-68e95ed37523","userName":"merry-coral","roomId":"cb120ce9-d3cb-487a-a9a1-195715ef75da","role":"owner"}
[2026-02-15T21:01:41.543Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"3ac7f963-c1d3-4546-b63e-5706d3da2e0b","userName":"zany-coral","roomId":"cb120ce9-d3cb-487a-a9a1-195715ef75da","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:02:13.456Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"3ac7f963-c1d3-4546-b63e-5706d3da2e0b","userName":"zany-coral","roomId":"a3440b52-7e4a-4361-8ce4-c453da6d832f","role":"owner"}
[2026-02-15T21:02:20.145Z] [INFO] [ROOM_CREATED] Room created | {"roomId":"3e7ab566-06ba-47eb-ae1e-a7ced94690ce","ownerId":"539564d0-de3a-4ada-beff-23addecc1279","ownerName":"happy-lime"}
[2026-02-15T21:02:20.634Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"3e7ab566-06ba-47eb-ae1e-a7ced94690ce","role":"owner"}
[2026-02-15T21:02:26.664Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"c47049d2-c752-4b30-9f13-0618fe134c99","userName":"proud-purple","roomId":"3e7ab566-06ba-47eb-ae1e-a7ced94690ce","role":"guest"}
[2026-02-15T21:02:26.664Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"c47049d2-c752-4b30-9f13-0618fe134c99","userName":"proud-purple","roomId":"3e7ab566-06ba-47eb-ae1e-a7ced94690ce","role":"guest","success":true}
[2026-02-15T21:03:04.198Z] [WARN] [ROOM_JOIN_FAILURE] User failed to join room | {"userId":"fd247b84-09e8-4edd-91b8-cf565ca20ea1","userName":"jolly-green","roomId":"3e7ab566-06ba-47eb-ae1e-a7ced94690ce","role":"guest","success":false,"reason":"Room is already full"}
[2026-02-15T21:04:41.059Z] [WARN] [ROOM_JOIN_FAILURE] User failed to join room | {"userId":"fd247b84-09e8-4edd-91b8-cf565ca20ea1","userName":"jolly-green","roomId":"3e7ab566-06ba-47eb-ae1e-a7ced94690ce","role":"guest","success":false,"reason":"Room is already full"}
[2026-02-15T21:04:41.170Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"3e7ab566-06ba-47eb-ae1e-a7ced94690ce","role":"owner"}
[2026-02-15T21:04:57.394Z] [INFO] [ROOM_CREATED] Room created | {"roomId":"06c299dd-a891-4dba-a991-0946969fd43f","ownerId":"539564d0-de3a-4ada-beff-23addecc1279","ownerName":"happy-lime"}
[2026-02-15T21:04:57.630Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"06c299dd-a891-4dba-a991-0946969fd43f","role":"owner"}
[2026-02-15T21:05:01.335Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"dd006c80-4f5e-4efe-a609-b9d45d5e034e","userName":"brave-green","roomId":"06c299dd-a891-4dba-a991-0946969fd43f","role":"guest"}
[2026-02-15T21:05:01.335Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"dd006c80-4f5e-4efe-a609-b9d45d5e034e","userName":"brave-green","roomId":"06c299dd-a891-4dba-a991-0946969fd43f","role":"guest","success":true}
[2026-02-15T21:05:43.362Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"dd006c80-4f5e-4efe-a609-b9d45d5e034e","userName":"brave-green","roomId":"06c299dd-a891-4dba-a991-0946969fd43f","role":"guest","success":true,"reason":"Rejoining existing room"}
